Gene_Symbol,disease_association,essential_gene,loss_of_function_tolerance,loss_of_function_constraint,observed_expected_lof_ratio,rvis_score,gwas_associations,protein_protein_interactions,chemical_gene_interactions,drug_interaction_types,known_antibodies,antibody,antibody_availability,small_molecule,tractable_modalities,overall_therapeutic_potential,functional_characterization,protein_domains,protein_length,expression_tissue_specificity,expression_specificity,expression_broadly_expressed,alternative_splicing
ARRDC1,,,0.0,,0.72,,,0.7,0.6,,0.8,,,,0.9,,,,0.5,,,,
ARRDC1-AS1,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.5,,,0.5,0.5
ARRDC2,,,,,,,,,,,,1.0,,,,,,,,,,,
ARRDC3,,,,0.95,,,0.8,0.75,0.7,,,,0.9,,,0.82,,,,,,,
ARRDC4,,,0.0,,,,,,,,,,0.9,,0.85,,,,,,,,
ARRDC5,,,0.9,,0.66,,,,0.6,,0.8,,,,,,,0.7,0.5,1.0,,,
ARSA,1.0,,0.0,,,,0.9,0.6,0.7,,0.8,,,,0.8,,0.9,,,,,0.6,
ARSB,,,0.0,,0.69,,0.7,,0.5,,0.6,,,,0.7,0.65,0.8,,0.8,0.61,,,
ARSD,,,0.0,,0.5,,,,0.8,,0.9,,,,0.8,0.7,,,0.5,,,,
ARSF,,,0.0,,0.5,,,,0.6,,0.9,,,,0.8,,,,0.7,,,,
ARSG,,,0.0,,0.78,,0.5,0.7,0.8,,0.9,,,,,,,,0.5,,,0.6,
ARSH,,,0.0,,0.79,,,,0.7,,0.9,,,,0.9,,,,0.8,0.94,,,
ARSI,,,0.0,,0.95,,,0.6,0.8,,0.9,,,,0.7,,,,0.5,,,,
ARSJ,,,0.0,,0.61,,,,0.8,,0.75,,,,0.9,0.65,,,0.5,0.86,,,
ARSK,,,0.0,,0.74,,,0.7,0.9,,0.76,,,,0.8,,0.8,,0.5,,,,
ART1,,,0.0,,0.5,,,0.6,0.7,0.8,0.9,,,,0.8,,0.8,,0.7,1.0,,,
ART3,,,0.0,,0.96,0.68,0.6,0.5,0.7,0.4,0.8,,,,0.8,,,,0.5,0.96,,,
ART4,,,0.0,,,,0.8,0.75,0.85,,0.9,,,,0.8,0.75,,,,0.93,,,
ART5,,,0.0,,0.49,,,,0.7,,0.85,,,,0.9,,,,0.75,1.0,,,
ARTN,,,0.36,,0.22,,,,0.8,,0.9,,,,0.7,,,,0.5,0.85,,,
ARV1,0.8,,0.0,,0.73,,,,0.7,,,,0.9,,0.7,,,,0.5,,,0.6,
ARVCF,,,0.0,,0.56,,0.9,,0.75,,0.85,,,,0.8,,,0.7,0.8,0.92,,,
ARX,0.8,1.0,,0.9,0.0,,,,0.7,,,,0.9,,0.8,,,,,,,,
AS3MT,,,0.0,,0.87,,0.9,,0.8,,0.85,,,,0.8,,0.9,,0.75,1.0,,,
ASAH1,,,0.0,,0.79,,0.6,0.5,0.7,,0.9,,,,,0.7,,,,,,0.6,
ASAH2,0.75,,0.0,,,,,,0.7,,,,0.9,,,,,,,,,,
ASAH2B,,,0.15,,0.5,,,,0.7,,,,0.8,,0.9,,,,0.5,,,,
ASAP1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ASAP2,0.7,,,1.0,0.12,,0.5,,0.85,,0.9,,,,,,0.95,,,0.76,,,
ASAP3,,,0.0,,,,0.5,0.6,0.8,,,,0.9,,,,,,,,0.77,,0.7
ASB1,,,0.0,,,,0.8,,0.7,,,,0.9,,0.7,0.75,0.8,,,,,0.6,
ASB10,0.8,,0.0,,0.5,,,0.5,0.7,,0.9,,,,,,0.8,0.6,0.6,0.95,,,
ASB11,0.5,,0.0,,0.83,,,,0.8,,0.87,,,,,,,,0.5,0.99,,,0.6
ASB12,,,0.0,,0.92,,,,0.7,,0.8,,,,0.6,0.65,0.9,,0.5,,,,
ASB13,,,0.0,,0.5,,,0.1,0.7,,0.85,,,,0.7,,,,0.6,,,0.6,0.5
ASB14,,,0.0,,0.5,,,0.3,0.7,,0.8,,,,,,,0.9,0.6,0.8,,,
ASB15,,,0.0,,0.88,,,,0.6,,0.6,,,,,,,0.7,0.5,,1.0,,0.5
ASB16,,,0.0,,0.7,,,0.5,0.6,,0.8,,,,,0.7,0.7,,0.5,,,,
ASB16-AS1,,,0.0,,0.0,,,,0.6,,,,,,,0.3,,,0.5,,,,
ASB17,,,0.0,,0.89,,0.8,,0.7,,0.9,,,,,,,,0.5,,1.0,,
ASB18,,,0.0,,0.5,,0.3,,0.8,,0.7,,,,,,0.8,,0.6,,,,
ASB2,,,0.0,,0.86,,0.5,0.4,0.6,,0.8,,,,,,,,0.5,0.94,,,0.5
ASB3,,,0.0,,,,0.8,0.6,0.7,,,,0.9,,0.6,,,,,,,0.5,0.4
ASB4,,,0.0,,0.88,,,0.5,0.6,,0.9,,,,,,,,0.7,,,,
ASB5,,,0.0,,0.5,,,,0.6,,0.8,,,,0.8,,0.7,0.9,0.6,1.0,,,0.5
ASB6,,,0.0,,0.51,,,0.75,0.7,,0.9,,,,0.9,,,,0.6,,,0.5,0.6
ASB7,,,,0.98,0.06,,0.75,0.9,0.7,,0.85,,,,0.8,0.82,,,0.8,,,0.53,
ASB8,,,0.0,,0.72,,,0.6,0.7,,0.9,,,,0.7,,,,0.5,,,0.5,
ASB9,,,,0.71,0.12,,,0.67,0.93,,0.87,,,,0.9,,,0.8,0.75,0.99,,,
ASCC1,0.8,,0.0,,,,,,,,,,,,,,0.9,,,,,,
ASCC2,,,0.12,,0.25,,0.1,0.6,0.7,,0.85,,,,0.9,0.75,,,0.75,0.6,,,
ASCC3,,,0.0,,,,0.5,0.6,0.8,,,,0.9,,0.8,0.7,,,,,0.7,,
ASCL1,,1.0,,0.7,0.12,,0.4,,0.7,,0.9,,,,,,,,0.5,0.88,,,
ASCL2,,1.0,0.35,,0.0,,,,0.7,,0.8,,,,,0.85,,,0.9,,,,
ASCL3,,,0.9,,0.7,,,,0.6,,0.8,,,,,,,0.75,0.5,1.0,,,
ASCL4,,,0.0,,1.0,,,,0.6,,0.8,,,,,,,,0.5,0.91,,,
ASCL5,,,0.0,,,,,,0.6,,,,,,,,,,0.5,,,,
ASDURF,,,0.0,,0.0,,,,,,0.8,,,,,,,,0.5,,,0.6,
ASF1A,,,,,,,,,,,,,,0.7,,,,,,,,,
ASF1B,,,0.0,,0.8,,,0.85,0.8,,0.9,,,,0.7,0.7,0.9,,0.5,1.0,,,
ASGR1,,,0.0,,,,0.8,0.4,0.5,0.7,0.6,,,,,,,0.6,,1.0,,,
ASGR2,,,0.0,,,,0.5,0.7,0.8,,,,0.9,,0.6,,0.8,,,1.0,,,0.5
ASH1L,,,,1.0,0.02,,0.5,,0.6,,0.8,,,,0.9,,,0.9,0.4,,,0.7,
ASH2L,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ASIC1,,,,0.88,0.17,,,0.5,0.6,0.67,0.8,,,,,,,,0.52,0.87,,,
ASIC2,,,,1.0,0.04,,,,0.8,0.9,0.85,,,,0.9,,0.95,,,0.92,,,
ASIC3,,,0.0,,0.57,,,,0.78,0.87,0.93,,,,,,,,0.5,,,,
ASIC4,0.2,,0.0,,0.37,,,0.7,0.8,,0.9,,,,0.8,,0.5,,0.5,0.97,,,
ASIC5,,,0.0,,0.91,,,,0.8,,0.9,,,,0.7,0.65,,,0.5,0.97,,,
ASIP,,0.9,0.8,,,,0.7,,0.8,,,,0.9,,0.8,,0.7,,,,,,
ASL,,1.0,0.0,,0.62,,,,0.75,,0.9,,,,0.8,,,,,0.79,,,
ASMT,0.6,,0.0,,0.6,,,,0.7,,0.8,,,,,0.7,0.8,,0.5,0.9,,,
ASMTL,,,0.0,,0.65,,,,0.7,,0.9,,,,0.6,,0.8,,0.8,,,0.5,
ASNS,0.8,,0.0,,0.48,0.75,,,0.85,,0.9,,,,0.6,,,,0.5,0.63,,,
ASNSD1,,,0.0,,0.5,,,,0.6,,0.8,,,,0.5,,,,0.6,,,0.9,
ASPA,,,0.0,,0.59,,0.5,0.4,0.8,,0.9,,,,,,,,,0.82,,,
ASPDH,,,0.0,,0.77,,,0.1,0.6,,0.72,,,,,,,0.9,0.5,0.85,,,
ASPG,,,0.0,,,,0.8,,,,,,0.9,,,,,,0.6,,0.97,,
ASPH,,,0.0,,,,0.8,0.75,0.85,,,,0.9,,,,0.8,,,,0.79,,
ASPHD1,,,0.0,,0.53,,0.1,,0.6,,0.8,,,,0.7,0.65,,,0.5,,,,
ASPHD2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ASPM,,,0.0,,,,0.5,,0.6,,0.7,,,,0.6,,,,,,0.99,,
ASPN,,,0.0,,0.76,,0.8,,0.7,,0.9,,,,,,,0.6,0.5,0.95,,,
ASPRV1,0.8,,0.01,,0.59,,,0.5,0.8,,,,0.92,,0.9,,,,0.68,,1.0,,
ASPSCR1,0.9,,0.0,,0.65,,,,0.75,,,,0.95,,,,,,0.6,,,,
ASRGL1,,,0.0,,,,0.5,,,,,,0.9,,0.6,0.65,,,,0.86,,,
ASS1,,,0.0,,0.65,,,,,,,,,,,,,,,,,,
ASTE1,,,0.0,,0.77,,,0.3,0.4,,0.8,,,,0.7,0.65,0.85,,0.5,,,,
ASTN1,,,,1.0,0.89,,,,0.8,,0.9,,,,0.8,,,0.85,0.7,,,,
ASTN2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ASXL1,0.8,,0.0,,,,,0.6,,,,,0.9,,,,0.85,,,,0.68,,
ASXL2,0.8,1.0,,1.0,0.94,,,0.7,0.85,,,,0.9,,,,,,,,0.62,,
ASXL3,0.9,,,1.0,0.1,,,,0.7,,,,0.6,,0.7,,,,0.75,0.88,,,
ASZ1,,,0.0,,,,0.8,,,,,,0.9,,,,,,,,1.0,,
ATAD1,,,0.0,,,,0.5,0.4,0.6,,0.8,,,,0.8,0.6,0.7,,0.5,,,0.6,
ATAD2,,,,1.0,0.15,,,0.4,0.7,0.7,0.6,,,,0.75,,,0.9,0.8,,,,
ATAD2B,,,,1.0,0.08,0.69,1.0,,0.6,0.5,0.9,,,,0.8,0.85,,,0.75,0.68,,,0.7
ATAD3A,0.8,,0.0,,,,,,,,,,0.9,,,,,,,,,0.6,0.5
ATAD3B,,,0.0,,0.5,,,,0.6,,0.8,,,,0.75,,,,0.7,,,0.6,
ATAD3C,,,0.0,,0.76,,,,0.6,,0.9,,,,0.75,,,,0.7,0.8,,,
ATAD5,,1.0,,1.0,0.9,,0.7,,0.5,,0.6,,,,0.6,,,,0.4,0.9,,,
ATAT1,,,0.0,,,,0.8,0.5,0.6,,0.7,,,,0.8,,0.9,,,,,0.6,0.5
ATCAY,0.8,,,0.66,0.19,,,,0.8,,,,0.9,,0.7,,,,0.75,,0.88,,
ATE1,,,0.15,,0.25,,,,,,,,,,,,,,,,,,
ATF1,,,,0.65,0.18,,,,0.85,,0.9,,,,,0.75,,,0.55,0.65,,,
ATF2,,1.0,,0.99,0.89,,,0.6,0.7,,0.9,,,,,,,,0.8,,,,
ATF3,,,0.1,,0.33,0.61,,,0.85,,0.95,,,,0.8,0.75,,,0.9,,,,
ATF4,,0.8,0.9,,,,,0.4,0.6,,,,0.7,,,,,,,,0.6,,
ATF5,,,0.29,,0.25,,,,0.7,,0.8,,,,,0.75,,,0.5,1.0,,,
ATF6,0.5,,0.0,,0.46,,,0.1,0.8,,,,0.9,,,,,,0.67,,,0.54,
ATF6B,,,0.0,,0.52,,0.8,0.7,0.9,,0.6,,,,0.75,,,,0.7,,,0.6,
ATF7,,,,1.0,0.05,,,,0.8,,0.9,,,,0.7,0.8,,0.9,0.6,0.7,,,
ATF7IP,,,,1.0,0.08,,0.7,0.4,0.6,,0.55,,,,0.5,,,,0.8,0.66,,,
ATF7IP2,,,0.15,,0.25,,0.1,,0.7,,0.72,,,,0.8,0.65,,,0.68,,,,
ATG10,,,0.0,,0.85,,0.4,0.5,0.6,,0.8,,,,0.8,,,,0.5,,,0.7,
ATG101,,,1.0,,1.0,,,0.6,0.7,,0.8,,,,0.9,,,,0.5,,,0.6,
ATG12,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ATG13,,,,0.96,0.14,,0.75,0.6,0.7,,0.8,,,,,,,,0.85,,,0.5,
ATG14,,,0.2,,,,0.8,0.6,0.7,,,,0.9,,0.8,,0.9,,,,,0.5,
ATG16L1,,1.0,,0.94,0.18,,0.9,,0.75,,0.6,,,,,,,,,,,,
ATG16L2,,,0.0,,0.82,,0.5,,0.6,,0.7,,,,,0.75,0.8,,0.6,0.91,,,
ATG2A,,,0.04,,0.25,,,,0.7,,0.8,,,,0.6,0.75,,,0.8,0.64,,,
ATG2B,,,0.0,,0.32,,,0.4,0.75,,0.98,,,,0.8,0.65,0.9,,0.85,,,0.59,
ATG3,,,0.0,,0.36,,,0.7,0.8,,0.9,,,,,,,,0.5,,,0.7,
ATG4A,,,,0.99,0.06,,,,0.75,,0.9,,,,,0.82,,,0.8,,,0.49,
ATG4B,,,,0.99,0.09,,,,0.7,,0.9,,,,,,1.0,,0.8,,,0.52,0.6
ATG4C,,,0.0,,0.5,,,0.7,0.7,,0.9,,,,,,,,0.6,,,,
ATG4D,0.7,,0.2,,,,,,,,,,0.9,,,,,,,,,,0.5
ATG5,,1.0,,0.97,0.06,,0.7,0.5,0.85,,0.9,,,,,,,,,,,0.6,
ATG7,,1.0,0.0,,,,0.9,0.6,0.7,,,,0.8,,,,,,,,,0.7,
ATG9A,,1.0,,0.99,0.14,,,0.7,0.8,,0.9,,,,,,,,0.75,,,0.5,
ATG9B,,,0.0,,0.84,,,,0.7,,0.9,,,,0.7,0.75,,,0.8,,,,
ATIC,0.8,,0.0,,0.93,,,,0.85,,0.9,,,,,,0.9,,0.5,,,0.54,
ATL1,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
ATL2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ATL3,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ATM,,,0.0,,0.59,,0.9,0.4,0.75,0.7,0.85,,,,,,,0.6,0.8,0.71,,,
ATMIN,,1.0,0.0,,0.47,,0.5,0.4,0.6,,0.9,,,,0.7,,,,,,,0.7,
ATN1,0.8,1.0,,1.0,0.92,,,,0.7,,,,0.9,,,,,,,0.71,,,
ATOH1,0.75,0.9,0.8,,,,,,,,,,0.7,,,,0.85,,0.6,,1.0,,
ATOH7,0.9,,0.2,,,,0.8,,,,,,0.7,,,,0.85,,,,0.9,,
ATOH8,,1.0,,0.9,0.0,,,,0.6,,0.7,,,,,0.85,,,0.8,0.86,,,
ATOX1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ATP10A,,,0.0,,0.3,,0.1,,0.9,,0.8,,,,0.9,0.65,,,0.75,,,,
ATP10B,,,0.0,,0.8,,,,0.85,,0.9,,,,0.7,0.8,,,0.8,,,,
ATP10D,,,0.0,,0.6,,0.6,,0.5,,0.7,,,,0.7,,0.85,0.9,0.8,0.75,,,
ATP11A,,,0.0,,0.3,,0.7,,0.5,,0.6,,,,0.7,0.65,,,0.5,0.73,,,
ATP11AUN,,,0.0,,0.0,,,,0.7,,,,,,,,,,0.5,,,0.2,
ATP11B,,,0.9,,0.3,,,0.5,0.7,,0.8,,,,0.6,,0.85,0.9,0.6,,,,
ATP11C,0.8,,,1.0,0.88,,,,0.7,,,,0.9,,,0.82,,,0.75,,,,
ATP12A,,,0.0,,0.6,,,0.5,0.85,,0.9,,,,0.8,0.75,,,0.7,,,,
ATP13A1,,,,0.99,0.18,,0.6,0.5,0.7,,0.8,,,,0.8,0.76,,0.9,0.75,,,0.6,
ATP13A2,,,0.0,,0.42,,0.7,,0.8,,0.9,,,,0.75,0.78,,,0.8,0.82,,,
ATP13A3,,,,1.0,0.12,,0.5,,0.6,,0.7,,,,0.7,,,0.9,0.8,0.78,,,
ATP13A4,,,0.0,,0.72,,,,0.7,,0.5,,,,0.9,,,,0.6,,,,
ATP13A5,,,0.0,,0.5,,,,0.6,,0.8,,,,0.75,0.65,0.85,,0.7,,,,
ATP1A1,,1.0,,1.0,0.04,,,,0.6,0.8,0.7,,,,0.9,,,,,0.76,,,
ATP1A1-AS1,,,0.0,,0.0,,,,0.6,,,,,,,,,0.7,0.5,,,0.8,
ATP1A2,0.9,1.0,0.0,,0.32,,,,0.5,0.7,0.6,,,,0.8,,,,0.4,0.87,,,
ATP1A3,,1.0,,1.0,0.0,,,,0.7,0.7,0.6,,,,0.8,,0.9,,0.5,0.9,,,
ATP1A4,,,0.0,,0.72,,,,0.9,0.8,0.5,,,,0.8,,,,0.7,,,,
ATP1B1,,,,1.0,0.0,,,0.5,0.7,0.7,0.6,,,,0.8,,,,,0.8,,,
ATP1B2,,1.0,0.08,,0.29,,0.2,0.5,0.6,0.8,0.9,,,,0.8,,0.7,,,,,,
ATP1B3,,,0.1,,0.3,,0.8,0.75,0.85,0.8,0.9,,,,0.75,0.65,,,0.7,,,,
ATP1B4,,,0.0,,0.5,,,0.85,0.8,,0.9,,,,,0.75,,,0.7,1.0,,,
ATP23,,,,,,,,,,,,0.8,,,,,,,,,,,
ATP2A1,,1.0,0.0,,0.62,0.8,0.9,,0.6,0.5,0.7,,,,0.7,,,,0.5,1.0,,,0.8
ATP2A2,,1.0,,1.0,0.88,,0.6,,0.6,,0.7,,,,,,,,,,,,0.7
ATP2A3,,,0.0,,0.44,0.8,,,0.9,,1.0,,,,0.8,0.7,,,0.7,,,,
ATP2B1,,1.0,,1.0,0.98,,0.85,,0.7,,0.75,,,,,,,,,,,,0.8
ATP2B2,,,,1.0,0.94,,,0.8,0.7,,0.75,,,,,,,,,,,,
ATP2B3,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ATP2B4,,,0.0,,0.3,,0.6,0.2,0.75,,0.9,,,,0.9,0.65,,,0.7,0.81,,,
ATP2C1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ATP2C2,,,0.0,,0.7,,,,0.6,,0.8,,,,0.75,0.78,,0.9,0.5,0.93,,,
ATP4A,,,0.0,,,,0.5,0.4,0.6,,0.7,,,,,,,,,,,,
ATP4B,,,0.0,,0.61,,,,0.75,0.9,0.8,,,,0.85,,,,0.5,,,,
ATP5F1A,0.7,,0.0,,0.0,,,,0.8,,0.9,,,,0.8,0.7,,,0.8,,,0.6,
ATP5F1B,,,0.0,,0.0,,,0.6,0.7,,0.9,,,,0.8,0.7,,,0.8,,,0.5,
ATP5F1C,,,1.0,,1.0,,,0.6,0.8,,0.9,,,,0.9,,,,0.5,,,0.7,0.5
ATP5F1D,,,,,,,,,,,,,,,,,,,,,,,
ATP5F1E,0.8,,0.0,,0.0,,,,0.6,,0.7,,,,0.7,,,,0.5,,,0.5,
ATP5F1EP2,,,0.0,,0.0,,,,0.6,,,,,,,,,,0.1,,,0.5,
ATP5IF1,,,1.0,,1.0,,,0.4,0.6,,0.8,,,,,,,,0.5,,,0.5,
ATP5MC1,,,,,,,,,,,,,,,,,,,,,,,
ATP5MC2,,,0.0,,0.0,,,,0.7,,0.9,,,,0.8,0.5,0.9,,0.8,,,0.6,
ATP5MC3,,,0.0,,0.0,,,0.7,0.8,,0.9,,,,0.8,,,,0.5,,,0.6,0.5
ATP5ME,,,,,,,,,,,,,,,,,,,,,,,
ATP5MF,,,0.0,,0.0,,,,0.8,,0.9,,,,0.7,0.6,0.9,,0.1,,,0.5,0.6
ATP5MG,,,0.0,,0.0,,,,0.7,,0.8,,,,0.8,,,,0.5,,,0.6,0.5
ATP5MGL,,,1.0,,1.0,,,,0.6,,0.8,,,,0.8,,,,0.5,0.7,,,
ATP5PB,,,0.0,,0.0,,,0.6,0.7,,0.9,,,,0.8,0.6,,,0.8,,,0.5,
ATP5PD,,,1.0,,1.0,,,,0.7,,0.9,,,,0.8,,0.9,,0.8,,,0.6,0.5
ATP5PF,,,,,,,,,,,,,,,,,,,,,,,
ATP5PO,,,,,,,,,,,,,,,,,,,,,,,
ATP6AP1,,,,0.99,0.0,,,,0.7,,0.8,,,,,,,,,,,,
ATP6AP1L,,,0.02,,0.43,0.8251,0.4,,0.6,,0.7,,,,,,,,0.224,,,0.56,
ATP6AP2,0.8,,,0.89,0.09,,,0.75,0.85,,,,0.9,,,,,,0.7,,,0.55,
ATP6V0A1,,,,,,,,,,,,,,,,,,,,,,,
ATP6V0A2,0.8,,0.0,,,,,0.6,,,,,0.9,,0.7,0.7,0.8,,,,,,
ATP6V0A4,0.6,,0.0,,0.72,,,,0.8,,0.9,,,,0.7,,,0.9,0.8,0.97,,,
ATP6V0B,,,,,,,,,,,,0.8,,0.7,,,,,,,,,
ATP6V0C,,,,,,,,,,,,0.8,,0.7,,,,,,,,,
ATP6V0D1,,1.0,,0.98,0.06,,,0.85,0.8,,,,0.9,,,,,,0.75,,,0.49,
ATP6V0D2,,,0.0,,0.9,0.63,,0.5,0.6,,0.8,,,,0.7,0.75,,,0.7,,,,
ATP6V0E1,,,0.4,,0.2,,,0.7,0.85,,1.0,,,,0.8,0.65,,,0.81,,,,
ATP6V0E2,,,0.31,,0.25,,,0.2,0.9,,0.8,,,,0.8,,,,0.1,,,,
ATP6V1A,0.5,,,0.87,0.18,,,,0.66,,0.72,,,,,0.68,,,0.61,,,,
ATP6V1B1,0.8,,0.0,,0.63,,,0.7,0.85,,,,0.9,,0.8,,0.9,,0.5,,,,
ATP6V1B2,0.8,,,0.99,0.13,,,,0.8,,0.9,,,,,0.78,,,0.51,,,,
ATP6V1C1,,,0.0,,0.41,,,,0.8,,0.9,,,,,,,,0.7,,,0.6,
ATP6V1C2,0.6,,0.0,,0.62,,,0.7,0.8,,0.9,,,,,,,,0.5,0.95,,,
ATP6V1D,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ATP6V1E1,,,,0.56,0.2,,,,0.75,,,,,,,,0.85,,0.45,,,,
ATP6V1E2,,,0.0,,0.57,,,,0.85,,0.8,,,,0.6,,,,0.5,,,,
ATP6V1F,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ATP6V1G1,,,,,,,,,,,,,,,,,,,,,,,
ATP6V1G2,,,0.0,,0.58,,0.8,,0.85,,0.9,,,,0.7,0.75,,,0.5,0.95,,,
ATP6V1G3,,,0.11,,0.39,,0.5,0.1,0.14,,0.73,,,,0.8,0.55,,,0.12,1.0,,,
ATP6V1H,0.8,,0.0,,,,,0.5,,,,,0.9,,,,,,,,,,
ATP7A,0.9,1.0,,1.0,0.09,,,,0.7,,,,0.8,,,,0.9,,0.5,,0.71,,
ATP7B,,1.0,0.0,,0.93,,0.5,,0.8,,0.9,,,,,,,,0.7,0.9,,,
ATP8A1,,,,,,,,,,,,0.8,,0.7,,,,,,,,,
ATP8A2,,,0.0,,0.43,,0.5,,0.7,,0.6,,,,,0.78,,,0.7,0.94,,,
ATP8B1,,,0.0,,0.39,,0.5,,0.8,,0.9,,,,,0.65,,,0.5,0.82,,,
ATP8B2,,,0.0,,0.29,0.75,0.6,,0.7,,0.8,,,,0.8,,,,0.5,0.77,,,
ATP8B3,,,0.0,,0.77,,,,0.85,,0.9,,,,0.8,0.7,0.75,,0.6,,,,0.7
ATP8B4,,,0.0,,,,0.8,,,,,,0.9,,0.8,,,,,,,,0.6
ATP9A,,,,1.0,0.11,,,,0.85,,0.9,,,,0.9,,0.8,,0.6,,,,
ATP9B,,,0.0,,0.5,,,,0.9,,0.8,,,,0.8,,,0.8,0.6,,,0.7,
ATPAF1,,,0.9,,0.4,,,,0.7,,0.8,,,,0.9,,,,0.5,,,0.6,
ATPAF2,,,0.0,,0.85,,0.4,0.5,0.6,,0.8,,,,0.5,0.5,,,0.5,,,0.7,
ATR,,1.0,0.0,,0.3,,0.6,,0.85,0.9,0.8,,,,0.75,0.75,,,,,,,
ATRAID,,,0.0,,0.63,,,,0.5,,0.76,,,,0.9,,,,0.5,,,,
ATRIP,,,0.0,,0.41,,,0.6,0.85,,0.9,,,,0.8,0.75,,,0.7,0.77,,,
ATRN,,,,,,,,,,,,0.9,,,,,,,,,,,
ATRNL1,,,,1.0,0.17,,0.5,,0.6,,0.7,,,,0.9,,,0.9,0.6,0.92,,,
ATRX,0.8,1.0,,1.0,0.97,,,,0.7,,,,0.9,,,,,,,,,,
ATXN1,,,,0.98,0.12,,0.95,0.5,0.8,,0.9,,,,,0.82,,,,,,0.75,
ATXN10,0.8,,0.0,,0.4,,,,0.8,,0.9,,,,0.75,,,0.85,0.95,,,0.5,
ATXN1L,,,0.0,,0.0,,,,0.8,,0.9,,,,0.7,0.65,,,0.7,,,0.6,
ATXN2L,0.85,,,1.0,0.94,,0.9,,0.7,,0.8,,,,0.7,,0.6,,0.5,0.64,,,
ATXN3,0.8,,0.09,,0.27,,,0.2,0.8,,0.9,,,,,0.75,,,0.5,0.65,,,
ATXN3L,,,1.0,,1.0,,,,0.6,,0.8,,,,0.5,,,,0.5,1.0,,,
ATXN7,,,,0.99,0.12,,0.4,,0.6,,0.8,,,,,0.65,,,0.892,0.63,,,
ATXN7L1,,,,1.0,0.9,,0.8,0.7,0.65,,0.75,,,,,,,,0.7,,,,
ATXN7L2,,,,0.97,0.87,,0.5,,0.7,,0.75,,,,0.85,,,,0.8,0.82,,,
ATXN7L3,,,,1.0,0.04,,,0.75,0.8,,0.9,,,,0.8,,,,0.5,,,0.6,
ATXN7L3B,,,0.15,,0.49,0.59,,,0.8,,0.92,,,,0.9,0.7,,,0.97,,,0.53,
ATXN8,0.8,,0.0,,,,,,,,,,,,,,,,,,,,
ATXN8OS,0.8,,0.0,,,,,,,,,,,,,,,,,,,,
AUH,,,0.0,,0.59,,0.8,,0.85,,0.95,,,,,,0.75,,,,,0.6,0.7
AUNIP,,,0.0,,0.5,,,0.2,0.7,,0.8,,,,0.6,,,,0.5,1.0,,,
AUP1,0.5,,0.0,,0.49,,,0.7,0.8,,0.9,,,,0.8,,,,0.5,,,0.6,0.6
AURKA,0.8,,,,,,,,,,,,,,,,,,,,,,
AURKAIP1,,,0.0,,0.5,,,0.75,0.7,,0.8,,,,,,,,0.6,,,0.6,
AURKB,,1.0,0.0,,,,,0.6,0.7,0.8,0.9,,,,,,,,0.5,1.0,,,
AURKC,0.5,,,,,,,,,,,,,,,,,,,,,,
AUTS2,,,,1.0,0.13,,0.95,,0.7,,0.8,,,,0.8,0.78,,,,,,0.55,
AVEN,,,0.0,,0.91,,,,0.8,,0.9,,,,0.9,,,,0.5,,,,
AVIL,0.8,1.0,0.0,,0.57,,,0.6,0.7,,0.9,,,,,,0.8,,,0.81,,,
AVL9,,,0.0,,0.34,,0.6,,0.7,,0.9,,,,0.7,,,,0.8,,,0.5,
AVP,0.9,,0.2,,,,,,,,,,0.9,,,,0.8,,,,,,
AVPI1,,,0.0,,0.5,,,0.7,0.6,,0.9,,,,0.8,0.75,,,0.7,,,,
AVPR1A,,,0.0,,0.7,,,0.2,0.8,0.9,0.9,,,,0.8,,,,0.6,0.95,,,
AVPR1B,0.8,,0.0,,0.56,,,0.1,0.75,0.88,0.95,,,,0.85,0.78,,,0.5,1.0,,,
AVPR2,0.8,1.0,0.49,,0.17,,,0.5,0.75,0.9,0.85,,,,,0.8,,0.9,,0.89,,,
AWAT1,,,0.0,,0.65,,,,0.7,,0.66,,,,0.8,,0.8,,0.5,0.94,,,
AWAT2,,,0.16,,0.29,,,,0.67,,0.81,,,,0.8,0.75,,,0.67,,,,
AXDND1,,,0.0,,0.77,,,0.2,0.8,,0.9,,,,,0.7,,,0.5,1.0,,,
AXIN1,,1.0,,0.73,0.2,,0.85,0.7,0.8,,0.9,,,,,,,0.85,,,,0.75,
AXIN2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
AXL,,,0.98,,0.73,,,,0.8,0.85,0.9,,,,,,,,0.75,0.82,,,
AZGP1,0.6,,0.0,,,,0.5,0.4,0.7,,0.8,,,,,,,,0.6,1.0,,,
